Episode,Reward,Epsilon
0,1.05,1.0
1,0.04,1.0
2,0.11999999999999998,1.0
3,0.09,1.0
4,0.10999999999999999,1.0
5,0.08,1.0
6,1.06,1.0
7,1.13,1.0
8,1.07,1.0
9,1.06,1.0
10,1.09,1.0
11,0.08,1.0
12,0.09999999999999999,1.0
13,1.07,0.999
14,0.18000000000000002,0.998001
15,0.13999999999999999,0.997002999
16,0.09,0.996005996001
17,0.18000000000000002,0.995009990004999
18,0.12999999999999998,0.994014980014994
19,0.16,0.993020965034979
20,1.1099999999999999,0.9920279440699441
21,0.12999999999999998,0.9910359161258742
22,1.1099999999999999,0.9900448802097482
23,0.18000000000000002,0.9890548353295385
24,1.14,0.988065780494209
25,1.1,0.9870777147137147
26,1.09,0.986090636999001
27,0.11999999999999998,0.9851045463620021
28,0.09999999999999999,0.98411944181564
29,1.15,0.9831353223738244
30,0.12999999999999998,0.9821521870514506
31,0.12999999999999998,0.9811700348643991
32,1.14,0.9801888648295347
33,1.16,0.9792086759647052
34,0.12999999999999998,0.9782294672887405
35,0.04,0.9772512378214517
36,0.09,0.9762739865836303
37,0.13999999999999999,0.9752977125970467
38,0.11999999999999998,0.9743224148844496
39,1.03,0.9733480924695651
40,0.12999999999999998,0.9723747443770956
41,1.14,0.9714023696327185
42,1.1,0.9704309672630859
43,1.1,0.9694605362958227
44,0.09999999999999999,0.9684910757595269
45,1.05,0.9675225846837673
46,0.11999999999999998,0.9665550620990835
47,0.16,0.9655885070369844
48,1.1099999999999999,0.9646229185299474
49,1.07,0.9636582956114175
50,1.14,0.9626946373158061
51,1.09,0.9617319426784903
52,0.07,0.9607702107358118
53,0.18000000000000002,0.959809440525076
54,0.11999999999999998,0.9588496310845509
55,1.03,0.9578907814534664
56,1.07,0.9569328906720129
57,1.08,0.9559759577813409
58,1.06,0.9550199818235596
59,1.07,0.9540649618417361
60,1.09,0.9531108968798944
61,0.04,0.9521577859830145
62,1.14,0.9512056281970315
63,1.08,0.9502544225688344
64,0.09999999999999999,0.9493041681462656
65,1.05,0.9483548639781193
66,0.12999999999999998,0.9474065091141411
67,1.1199999999999999,0.946459102605027
68,0.11999999999999998,0.9455126435024219
69,0.09,0.9445671308589195
70,1.14,0.9436225637280606
71,1.1,0.9426789411643326
72,0.16,0.9417362622231683
73,1.09,0.9407945259609451
74,0.09,0.9398537314349842
75,1.18,0.9389138777035492
76,0.11999999999999998,0.9379749638258457
77,1.16,0.9370369888620198
78,1.1099999999999999,0.9360999518731578
79,1.1099999999999999,0.9351638519212846
80,1.19,0.9342286880693633
81,1.06,0.933294459381294
82,1.1099999999999999,0.9323611649219127
83,0.08,0.9314288037569908
84,1.1,0.9304973749532338
85,0.12999999999999998,0.9295668775782806
86,0.20000000000000004,0.9286373107007023
87,0.15,0.9277086733900016
88,0.060000000000000005,0.9267809647166116
89,0.09999999999999999,0.925854183751895
90,1.05,0.9249283295681431
91,0.09,0.9240034012385749
92,0.10999999999999999,0.9230793978373364
93,1.08,0.9221563184394991
94,0.09999999999999999,0.9212341621210596
95,0.08,0.9203129279589385
96,1.1,0.9193926150309796
97,0.08,0.9184732224159486
98,1.05,0.9175547491935327
99,1.1099999999999999,0.9166371944443392
100,1.07,0.9157205572498949
101,1.1099999999999999,0.914804836692645
102,0.09,0.9138900318559524
103,0.09,0.9129761418240965
104,1.1099999999999999,0.9120631656822724
105,0.13999999999999999,0.9111511025165902
106,1.1,0.9102399514140735
107,1.14,0.9093297114626595
108,0.060000000000000005,0.9084203817511969
109,1.06,0.9075119613694457
110,0.10999999999999999,0.9066044494080763
111,0.08,0.9056978449586682
112,1.07,0.9047921471137096
113,1.1099999999999999,0.9038873549665959
114,0.060000000000000005,0.9029834676116293
115,1.05,0.9020804841440176
116,0.11999999999999998,0.9011784036598737
117,1.08,0.9002772252562138
118,1.1099999999999999,0.8993769480309576
119,0.12999999999999998,0.8984775710829266
120,1.1,0.8975790935118436
121,0.11999999999999998,0.8966815144183318
122,0.20000000000000004,0.8957848329039134
123,1.08,0.8948890480710096
124,0.13999999999999999,0.8939941590229386
125,0.12999999999999998,0.8931001648639156
126,0.05,0.8922070646990518
127,1.08,0.8913148576343527
128,1.1,0.8904235427767183
129,1.06,0.8895331192339416
130,1.07,0.8886435861147077
131,0.09999999999999999,0.887754942528593
132,1.04,0.8868671875860644
133,0.12999999999999998,0.8859803203984784
134,1.09,0.88509434007808
135,0.10999999999999999,0.8842092457380019
136,0.09,0.8833250364922639
137,1.06,0.8824417114557717
138,1.13,0.8815592697443159
139,1.07,0.8806777104745716
140,0.09999999999999999,0.8797970327640969
141,1.1099999999999999,0.8789172357313328
142,1.09,0.8780383184956015
143,1.09,0.8771602801771059
144,0.17,0.8762831198969288
145,0.060000000000000005,0.8754068367770318
146,0.16,0.8745314299402548
147,0.09,0.8736568985103146
